Env,Gen,Rep,Yr
NZ_17,1,1,855.8
NZ_17,1,2,897.8
NZ_17,1,3,876.8
NZ_17,2,1,794.9
NZ_17,2,2,746.6
NZ_17,2,3,770.7
NZ_17,3,1,783.3
NZ_17,3,2,575.4
NZ_17,3,3,679.4
NZ_17,4,1,725.6
NZ_17,4,2,835.8
NZ_17,4,3,780.7
NZ_17,5,1,1035.3
NZ_17,5,2,1103.6
NZ_17,5,3,1069.4
NZ_17,6,1,1042.7
NZ_17,6,2,462
NZ_17,6,3,752.3
NZ_17,7,1,784.4
NZ_17,7,2,719.3
NZ_17,7,3,751.8
NZ_17,8,1,826.4
NZ_17,8,2,699.3
NZ_17,8,3,762.8
NZ_17,9,1,1123.5
NZ_17,9,2,979.7
NZ_17,9,3,1051.6
NZ_17,10,1,886.2
NZ_17,10,2,379.1
NZ_17,10,3,632.6
NZ_17,11,1,942.9
NZ_17,11,2,998.6
NZ_17,11,3,970.7
NZ_17,12,1,1260
NZ_17,12,2,950.3
NZ_17,12,3,1105.1
NZ_17,13,1,892.5
NZ_17,13,2,364.4
NZ_17,13,3,628.4
NZ_17,14,1,1030.1
NZ_17,14,2,854.7
NZ_17,14,3,942.4
NZ_17,15,1,884.1
NZ_17,15,2,673.1
NZ_17,15,3,778.6
NZ_17,16,1,769.7
NZ_17,16,2,873.6
NZ_17,16,3,821.6
NZ_17,17,1,562.8
NZ_17,17,2,860
NZ_17,17,3,711.4
NZ_17,18,1,645.8
NZ_17,18,2,1183.4
NZ_17,18,3,914.6
NZ_17,19,1,664.7
NZ_17,19,2,1123.5
NZ_17,19,3,894.1
NZ_17,20,1,755
NZ_17,20,2,1043.7
NZ_17,20,3,899.3
NZ_17,21,1,1123.5
NZ_17,21,2,1187.6
NZ_17,21,3,1155.5
NZ_17,22,1,738.2
NZ_17,22,2,809.6
NZ_17,22,3,773.9
NZ_17,23,1,911.4
NZ_17,23,2,781.2
NZ_17,23,3,846.3
NZ_17,24,1,736.1
NZ_17,24,2,909.3
NZ_17,24,3,822.7
NZ_17,25,1,785.4
NZ_17,25,2,804.3
